DOEID,REGIONC,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,WALLTYPE,ROOFTYPE,ADQINSUL,HHSEX,HHAGE,EMPLOYHH,MONEYPY,KWH,NWEIGHT
100320,MIDWEST,2,5,2680,3,5,2,1,33,1,14,10607.52,6936.503173
100321,NORTHEAST,2,2,1000,2,5,2,1,73,3,13,5544.2,1060.261284
100322,SOUTH,2,7,1500,2,5,1,1,76,3,4,15164.35,6797.018899
100323,SOUTH,4,4,800,2,3,2,1,48,4,8,9330.1,8430.560014
100324,NORTHEAST,2,3,2700,3,5,1,2,70,3,12,5586.05,4600.352967
100325,SOUTH,2,2,1020,2,5,3,1,70,3,12,2003.41,13351.01921
100326,SOUTH,5,6,500,1,-2,2,1,34,4,1,4970.06,2142.244534
100327,SOUTH,2,7,1400,2,6,2,1,30,1,6,10470.73,7593.299943
100328,WEST,1,6,1300,2,5,2,2,70,1,13,14627.34,5024.00918
100329,WEST,2,1,1440,1,5,2,1,48,2,13,8948.82,6848.189783
100330,MIDWEST,2,8,3000,3,3,1,1,66,3,11,12000.73,4567.909657
100331,SOUTH,3,6,1560,7,5,2,2,73,3,11,14561.69,6622.900432
